tconst,primaryTitle,isAdult,episode_count,averageRating,numVotes
tt0053488,The Bugs Bunny Show,0,78,8.6,36122
tt0053489,Candid Camera,0,160,6.9,487
tt0053490,The Case of the Dangerous Robin,0,44,8.1,57
tt0053491,Checkmate,0,70,7.6,319
tt0053492,Citizen James,0,32,7.3,46
tt0053494,Coronation Street,0,10904,5.6,6126
tt0053496,Danger Man,0,39,7.9,1424
tt0053497,Dante,0,26,7.5,68
tt0053499,The Dickie Henderson Show,0,118,6.9,25
tt0053502,The Flintstones,0,167,7.5,41884
tt0053505,Guestward Ho!,0,38,7.7,64
tt0053506,Happy,0,26,6.9,37
tt0053507,Harrigan and Son,0,34,8.1,70
tt0053508,Hong Kong,0,27,8.1,180
tt0053509,The Jim Backus Show,0,39,7.4,51
tt0053510,Insight,0,277,7.5,294
tt0053511,The Islanders,0,25,6.4,45
tt0053513,Johnny Midnight,0,39,7.9,54
tt0053515,King Leonardo and His Short Subjects,0,182,7.1,98
tt0053516,Klondike,0,17,7.3,54
tt0053517,The Law and Mr. Jones,0,46,7.7,73
tt0053521,Michael Shayne,0,32,7.4,109
tt0053522,The Famous Adventures of Mr. Magoo,0,26,7.2,679
tt0053524,My Sister Eileen,0,27,7.1,30
tt0053525,My Three Sons,0,380,7.1,4649
tt0053526,National Velvet,0,58,7.9,132
tt0053527,Outlaws,0,50,7.4,93
tt0053528,Overland Trail,0,17,7.4,97
tt0053529,Pete and Gladys,0,72,7.4,168
tt0053530,Peter Loves Mary,0,32,6.3,36
tt0053533,The Roaring 20's,0,45,8,187
tt0053534,Route 66,0,116,7.7,2012
tt0053535,Sie schreiben mit,0,136,8.9,41
